English words/sentences,French words/sentences
Stop treating me like a child.,Arrêtez de me prendre pour une enfant.
Summer doesn't last very long.,L'été ne dure pas très longtemps.
Summer holiday begins in July.,Les grandes vacances commencent en Juillet.
Summers are very hot in Kyoto.,Les étés sont très chauds à Kyoto.
Surely he'll phone me tonight.,Il me téléphonera certainement ce soir.
Swear you won't do that again.,Jure que tu ne le referas plus.
Swimming is one thing I enjoy.,La natation est un de mes plaisirs.
Take a little nap on the sofa.,Fais un roupillon sur le canapé !
Take a little nap on the sofa.,Faites un roupillon sur le canapé !
Take as much time as you want.,Prends tout le temps que tu veux.
Take as much time as you want.,Prends autant de temps que tu veux.
Take as much time as you want.,Prenez autant de temps que vous voulez.
Take care not to catch a cold.,Fais attention de ne pas attraper froid.
Take care not to catch a cold.,Faites attention à ne pas attraper froid.
Take care not to catch a cold.,Prends garde de ne pas attraper froid !
Take care not to catch a cold.,Prends garde de ne pas prendre un rhume !
Take care not to catch a cold.,Prenez garde de ne pas attraper froid !
Take care not to catch a cold.,Prenez garde de ne pas prendre un rhume !
Take care not to catch a cold.,Prenez garde de ne pas contracter un rhume !
Take care not to catch a cold.,Prends garde de ne pas contracter un rhume !
Take care of your grandfather.,Prends soin de ton grand-père !
Take care of your grandfather.,Prenez soin de votre grand-père !
Tanning can cause skin cancer.,Bronzer peut causer le cancer de la peau.
Tea was introduced from China.,Le thé a été introduit de Chine.
"Tea with lemon for me, please.","Pour moi du thé au citron, je vous prie."
Technique is really important.,La technique est très importante.
Tell Tom that I need his help.,Dis à Tom que j'ai besoin de son aide.
Tell Tom what's going on here.,Dis à Tom ce qu'il se passe ici.
Tell me about your daily life.,Parle-moi de ta vie quotidienne.
Tell me about your daily life.,Parlez-moi de votre vie quotidienne.
Tell me about your first kiss.,Raconte-moi ton premier baiser.
Tell me about your first kiss.,Racontez-moi votre premier baiser.
Tell me what we're doing here.,Dis-moi ce que nous faisons ici !
Tell me what we're doing here.,Dites-moi ce que nous faisons ici !
Tell the truth no matter what.,Dis la vérité quoi qu'il en soit.
Tell us exactly what happened.,Dites-nous exactement ce qu'il s'est passé.
Tell us exactly what happened.,Dis-nous exactement ce qui s'est passé.
Thank you again for your help.,Merci encore de votre aide.
Thank you again for your help.,Merci encore de ton aide.
Thank you for listening to me.,Merci de m'écouter.
Thank you for the information.,Merci pour l'information.
Thank you for your assistance.,Merci pour ton aide.
Thank you for your kind words.,Merci pour vos aimables paroles.
Thank you for your kind words.,Merci pour tes aimables paroles.
Thanks for doing this so fast.,Merci d'avoir fait ça si vite.
That book is full of mistakes.,Ce livre est truffé d'erreurs.
That boy speaks like an adult.,Ce garçon parle comme un adulte.
That bridge is very beautiful.,Ce pont est très beau.
That building must be on fire.,Ce bâtiment doit être en feu.
That does happen occasionally.,Cela arrive occasionnellement.
That does make me feel better.,Ça me fait me sentir mieux.
That doesn't make sense to me.,Ça n'a pour moi aucun sens.
That doesn't scare me one bit.,Cela ne m'effraie pas le moins du monde.
That doesn't seem very heroic.,Cela ne semble pas très héroïque.
That dress is perfect for you.,Cette robe est parfaite pour vous.
That experiment was a failure.,Cette expérience était un échec.
That happened over a year ago.,C'est arrivé il y a plus d'un an.
That he loved her was certain.,Qu'il l'aimât était certain.
That house is built of bricks.,Cette maison est faite de briques.
That incident made him famous.,L'incident l'a rendu célèbre.
"That is not an orange, either.",Cela n'est pas non plus une orange.
That isn't the way I heard it.,Ce n'est pas ainsi que je l'ai entendu.
That job took a lot out of me.,Ce travail m'a beaucoup demandé.
That key doesn't fit the lock.,Cette clef ne rentre pas dans la serrure.
That leaves no room for doubt.,Cela ne laisse aucune place pour le doute.
That makes everything simpler.,Ça rend tout plus simple.
That makes everything simpler.,Ça simplifie tout.
That man has a bad reputation.,Cet homme a mauvaise réputation.
That may be an important clue.,Il se peut que ce soit un indice important.
That might not be a good idea.,Cela ne serait peut-être pas une bonne idée.
That movie star has many fans.,Cette vedette de cinéma a beaucoup d'admirateurs.
That movie star has many fans.,Cette vedette de cinéma a de nombreux admirateurs.
That movie star has many fans.,Cette vedette de cinéma a de nombreuses admiratrices.
That museum is worth visiting.,Ce musée vaut la visite.
That must've been frustrating.,Cela a dû être frustrant.
That never should've happened.,Cela n'aurait jamais dû se passer.
That old man is a fussy eater.,Ce vieil homme est difficile pour la nourriture.
That pretty girl is my sister.,Cette jolie fille est ma sœur.
That problem is not avoidable.,Ce problème est inévitable.
That should be enough for now.,Cela devrait suffire pour le moment.
That should be enough for you.,Cela devrait être suffisant pour toi.
That should be enough for you.,Cela devrait suffire pour vous.
That sounds like a great idea.,Ça a l'air d'être une idée géniale.
That sounds like a great idea.,Ça a l'air d'être une super idée.
That sounds like a great plan.,Ça semble être un projet formidable.
That sounds like a lot of fun.,Ça a l'air très marrant.
That sounds like a lot of fun.,Ça a l'air très amusant.
That store gives good service.,Ce magasin offre un service de qualité.
That story can't be confirmed.,Cette histoire ne peut pas être confirmée.
That was Tom's plan all along.,C'était le plan de Tom depuis le début.
That was a really scary story.,C'était une histoire très effrayante.
That was not my understanding.,Ce n'était pas ma compréhension.
That was somebody else's idea.,C'était l'idée de quelqu'un d'autre.
That was the worst movie ever.,C'était le pire film jamais réalisé.
That was then and this is now.,"Cela c'était avant et ceci, maintenant."
That was then and this is now.,C'était avant et c'est maintenant.
That was then and this is now.,C'était alors et c'est maintenant.
That would be a wise decision.,Ce serait une sage décision.
That would be very beneficial.,Ce serait très bénéfique.
That wouldn't be a good thing.,Ça ne serait pas une bonne chose.
That's a controversial theory.,C'est une théorie controversée.
That's a debt I want to repay.,C'est une dette que je veux rembourser.
"That's a good reason, I guess.","C'est une bonne raison, je suppose."
That's a possible explanation.,C'est une explication possible.
That's a really good hospital.,C'est vraiment un bon hôpital.
That's a really good painting.,C'est vraiment un bon tableau.
That's a risk we have to take.,C'est un risque que nous devons prendre.
That's a very good suggestion.,C'est une très bonne suggestion.
That's a very simple question.,C'est une question très simple.
That's all I'm thinking about.,C'est tout ce à quoi je pense.
That's all it takes sometimes.,"C'est tout ce que ça demande, parfois."
That's an old American custom.,C'est une vieille coutume américaine.
That's as good a place as any.,C'est un endroit aussi bien que n'importe quel autre.
That's exactly what I thought.,C'est exactement ce que je pensais.
That's exactly what I'm doing.,C'est exactement ce que je suis en train de faire.
That's exactly what he wanted.,C'est exactement ce qu'il voulait.
That's how I came to know her.,C'est comme ça que je l'ai connue.
That's how I came to know her.,Et c'est comme ça que je l'ai connue.
That's how I injured my ankle.,C'est ainsi que je me suis blessé la cheville.
That's how I would've done it.,C'est ainsi que je l'aurais fait.
That's just what you need now.,C'est juste ce dont tu as besoin maintenant.
That's my favorite expression.,C'est mon expression favorite.
That's not how I would say it.,Ce n'est pas ainsi que je le formulerais.
That's not quite what I meant.,Ce n'est pas tout à fait ce que je voulais dire.
That's not what I had in mind.,Ce n'est pas ce que j'avais à l'esprit.
That's not what I had in mind.,Ce n'est pas ce que j'avais en tête.
That's not what I said at all.,Ce n'est pas du tout ce que j'ai dit.
That's not what I'm afraid of.,Ce n'est pas de ça que j'ai peur.
That's not what happened here.,Ce n'est pas ce qui est arrivé ici.
That's only part of the truth.,Ce n'est qu'une partie de la vérité.
That's precisely what I meant.,C'est précisément ce que je voulais dire.
That's probably going to fall.,Ça va probablement tomber.
That's probably what happened.,C'est probablement ce qu'il s'est passé.
That's something that we made.,C'est quelque chose que nous avons réalisé.
That's very optimistic of you.,C'est très optimiste de votre part.
That's very thoughtful of you.,C'est très prévenant de votre part.
That's very thoughtful of you.,C'est très prévenant de ta part.
That's very thoughtful of you.,C'est fort prévenant de votre part.
That's what I'm talking about.,C'est de ça que je parle.
That's what I'm talking about.,C'est de ça que je suis en train de parler.
That's what I'm worried about.,C'est ce qui me soucie.
That's what Tom wants to know.,C'est ce que Tom veut savoir.
That's what everyone's saying.,C'est ce que tout le monde dit.
That's what's going to happen.,C'est ce qui va se produire.
That's where I went yesterday.,C'est là que je suis allé hier.
That's where I went yesterday.,C'est là que je suis allée hier.
That's where the problem lies.,C'est là que le problème réside.
That's why I've done all this.,C'est pour cela que j'ai fait tout ça.
The Seine flows through Paris.,La Seine coule à travers Paris.
The Seine flows through Paris.,La Seine traverse Paris.
The accident occurred at dawn.,L'accident survint à l'aube.
The air conditioner is broken.,Le climatiseur est cassé.
The airplane took off on time.,L'avion a décollé à l'heure.
The airplane took off on time.,L'avion décolla à l'heure.
The almond trees are in bloom.,Les amandiers sont en fleurs.
The apples are not quite ripe.,Les pommes ne sont pas tout à fait mûres.
The argument ended in a fight.,La discussion a tourné au pugilat.
The army forced him to resign.,L'armée l'a forcé à démissionner.
The baby was crying to be fed.,Le bébé pleurait pour qu'on le nourrisse.
The bank is three blocks away.,La banque est à trois pâtés de maisons.
The bank lent him 500 dollars.,La banque lui a prêté 500 dollars.
The barber gave him a haircut.,Le coiffeur lui a coupé les cheveux.
The basement is full of water.,Le sous-sol est plein d'eau.
The basket was full of apples.,Le panier était plein de pommes.
The basket was full of apples.,Le panier était rempli de pommes.
The basket was full of apples.,La corbeille était remplie de pommes.
The best hairdressers are gay.,Les meilleurs coiffeurs sont homos.
The best hairdressers are gay.,Les meilleurs coiffeurs sont gays.
The box is too heavy to carry.,La boîte est trop lourde à porter.
The boy is afraid of the dark.,Le garçon a peur du noir.
The boy was sold into slavery.,Le garçon fut vendu en esclavage.
The bridge is being repainted.,Le pont est en train d'être repeint.
The bus should be here by now.,Le bus devrait être ici maintenant.
The bus was two minutes early.,Le bus avait deux minutes d'avance.
The candle went out by itself.,La bougie s'éteignit d'elle-même.
The capital of Japan is Tokyo.,La capitale du Japon est Tokyo.
The car came to a smooth stop.,La voiture s'arrêta doucement.
The car crashed into the wall.,La voiture s'écrasa contre le mur.
The car isn't worth repairing.,La voiture ne vaut pas la peine d'être réparée.
The cat crept toward the bird.,Le chat rampa en direction de l'oiseau.
The cat crept toward the bird.,Le chat a rampé en direction de l'oiseau.
The cat jumped onto the table.,Le chat sauta sur la table.
The cat jumped onto the table.,Le chat a sauté sur la table.
The cat seems extremely happy.,Le chat semble extrêmement heureux.
The child is learning quickly.,L'enfant apprend rapidement.
The children are crying again.,Les enfants pleurent encore.
The children went out to play.,Les enfants sont sortis pour jouer.
The children went out to play.,Les enfants allèrent jouer dehors.
The children went out to play.,Les enfants allèrent jouer à l'extérieur.
The climate is moist and warm.,Le climat est chaud et humide.
The clock has just struck ten.,La pendule vient de sonner dix coups.
The clock is ten minutes slow.,La pendule a dix minutes de retard.
The cloth was dyed bright red.,Le tissu était teinté d'un rouge éclatant.
The clouds are getting darker.,Les nuages deviennent plus noirs.
The coach gave me some advice.,L'entraîneur m'a donné des conseils.
The coach gave me some advice.,L'entraîneur m'a prodigué des conseils.
The concert is about to start.,Le concert va bientôt commencer.
The conditions were difficult.,Les conditions étaient difficiles.
The contract will expire soon.,Le contrat expirera bientôt.
The cops won't find you there.,La police ne te trouvera pas là-bas.
The court's decision is final.,La décision du tribunal est définitive.
The cowboy entered the saloon.,Le gardien de troupeaux entra dans le bar.
The day started off very well.,La journée démarrait très bien.
The decision is not yet final.,La décision n'est pas encore définitive.
The decision was easy to make.,La décision fut facile à prendre.
The decision was easy to make.,La décision a été facile à prendre.
The desk is covered with dust.,Le bureau est recouvert de poussière.
The dictionary is on the desk.,Le dictionnaire est sur le bureau.
The difficult question is why.,La question difficile est pourquoi.
The doctor examined my throat.,Le médecin examina ma gorge.
The doctor treated her injury.,Le médecin a traité sa blessure.
The door opened automatically.,La porte s'ouvrait automatiquement.
The dove is a symbol of peace.,La colombe symbolise la paix.
The dove is a symbol of peace.,La colombe est un symbole de paix.
The earth goes around the sun.,La Terre tourne autour du Soleil.
The examinations are all over.,Les examens sont complètement terminés.
The exception proves the rule.,L'exception prouve la règle.
The experiment was successful.,L'expérience fut une réussite.
The first step is the hardest.,Le premier pas est le plus difficile.
The floor has just been waxed.,Le sol vient d'être ciré.
The food isn't very good here.,La nourriture n'est pas bonne ici.
The food seems very delicious.,La nourriture semble délicieuse.
The food was better in prison.,La nourriture était meilleure en prison.
The garden needs to be weeded.,Le jardin a besoin d'être désherbé.
The girl did not say anything.,La fille ne dit rien.
The girl did not say anything.,La fille resta coite.
The girls are as busy as bees.,Les filles sont affairées comme des abeilles.
The goose was killed by a fox.,L'oie s'est fait tuer par un renard.
The hole is two meters across.,Le trou fait deux mètres de large.
The homework is due next week.,Le devoir est à faire pour la semaine prochaine.
The hostages will be released.,Les otages seront libérés.
The hostages will be released.,Les otages vont être libérés.
The hotel is run by his uncle.,L'hôtel est géré par son oncle.
The house appears to be empty.,La maison paraît vide.
The house by the lake is mine.,La maison du lac m'appartient.
The house by the lake is mine.,La maison au bord du lac m'appartient.
The house is not occupied now.,La maison est actuellement inoccupée.
The ice has melted in the sun.,La glace fondit au soleil.
The kid is a pain in the neck.,Le gosse est une plaie.
The kids are driving me crazy.,Les enfants me rendent dingue.
The king always wears a crown.,Le roi porte toujours une couronne.
The king oppressed his people.,Le roi oppressait son peuple.
The king took his clothes off.,Le roi a enlevé ses vêtements.
The king took his clothes off.,Le roi s'est déshabillé.
The lamb was cooked perfectly.,L'agneau était parfaitement cuit.
The lamb was cooked perfectly.,L'agneau était parfaitement cuisiné.
The letter was written by Tom.,La lettre a été écrite par Tom.
The letter was written by Tom.,La lettre fut écrite par Tom.
The light bulb has burned out.,L'ampoule a grillé.
The light in Tom's room is on.,La lumière dans la chambre de Tom est allumée.
The light is better over here.,La lumière est meilleure par ici.
The light is on in Tom's room.,La lumière est allumée dans la chambre de Tom.
The man was arrested as a spy.,L'homme fut arrêté comme espion.
The matter is really pressing.,La question est vraiment pressante.
The mayor granted our request.,Le maire a accédé à notre demande.
The meeting has already begun.,La réunion a déjà commencé.
The money is at your disposal.,L'argent est à votre disposition.
The moon is behind the clouds.,La lune se trouve derrière les nuages.
The museum is open from 9 a.m.,Le musée est ouvert à partir de neuf heures.
The news spread like wildfire.,La nouvelle se répandit comme une traînée de poudre.
The news spread like wildfire.,La nouvelle s’est répandue comme une traînée de poudre.
The newspaper is by your side.,Le journal est de ton côté.
"The next morning, he was gone.","Le matin suivant, il était parti."
The nightmare is finally over.,Le cauchemar est enfin terminé.
The noise set the dog barking.,Le bruit a fait aboyer le chien.
The novel is worthy of praise.,Le roman mérite des éloges.
The nurse checked Tom's pulse.,L'infirmière vérifia le pouls de Tom.
The nurse gave you a sedative.,L'infirmière t'a donné un sédatif.
The nurse gave you a sedative.,L'infirmière vous a donné un sédatif.
The old man has missing teeth.,Le vieil homme est édenté.
The old man is hard to please.,Le vieux est difficile à contenter.
The opportunities are endless.,Les possibilités sont infinies.
The pain has mostly gone away.,La douleur a en majeure partie disparu.
The painting is deteriorating.,Le tableau se détériore.
The park is open to everybody.,Le parc est ouvert à tous.
The patient's in the hospital.,Le patient est à l'hôpital.
The performance began at 8:00.,La représentation commença à 8:00.
The plan is not yet finalized.,Le plan n'est pas encore ficelé.
The plane landed in the ocean.,L'avion a atterri dans l'océan.
The plane will get in on time.,L'avion arrivera à l'heure.
The pocket edition is cheaper.,L'édition de poche est moins chère.
The poet gave the girl a rose.,Le poète a donné une rose à la fille.
The police arrested three men.,La police a arrêté trois hommes.
The police broke up the crowd.,La police a dispersé la foule.
The possibilities are endless.,Les possibilités sont infinies.
The president remained in bed.,Le Président resta alité.
The price of eggs is going up.,Le prix des œufs augmente.
The price reflects the demand.,Le prix reflète la demande.
The prisoners tried to escape.,Les prisonniers ont essayé de s'enfuir.
The prisoners tried to escape.,Les prisonnières ont essayé de s'enfuir.
The prisoners tried to escape.,Les prisonniers essayèrent de s'enfuir.
The prisoners tried to escape.,Les prisonnières essayèrent de s'enfuir.
The project is not going well.,Le projet ne se déroule pas bien.
The result remains to be seen.,Il faudra voir le résultat.
The result remains to be seen.,On verra le résultat.
The rich are not always happy.,Les riches ne sont pas toujours heureux.
The river flows into the lake.,La rivière se jette dans le lac.
"The road is icy, so take care.","La route est verglacée, alors fais attention."
The road was clear of traffic.,La route était dégagée de toute circulation.
The robber bashed her head in.,Le voleur lui a fracassé la tête.
The robot went out of control.,Ce robot est devenu hors de contrôle.
The robot went out of control.,Le robot échappa au contrôle.
The room is covered with dust.,La pièce est couverte de poussière.
The room was in perfect order.,La pièce était parfaitement rangée.
The rules are about to change.,Les règles sont sur le point de changer.
The sample is not pure enough.,L'échantillon n'est pas assez pur.
The sandwiches were delicious.,Les sandwichs étaient délicieux.
The sandwiches were delicious.,Les sandwichs furent délicieux.
The scandal ruined his career.,Le scandale a ruiné sa carrière.
The ship is now in the harbor.,Le bateau est maintenant au port.
The shoes are made of leather.,Les chaussures sont faites en cuir.
The shy boy murmured his name.,Le garçon timide murmura son nom.
The situation seemed hopeless.,Il semblait que la situation était sans espoir.
The snow melted away in a day.,La neige a fondu en un jour.
The soldier groaned with pain.,Le soldat gémissait de douleur.
The squirrel climbed the tree.,L'écureuil grimpa à l'arbre.
The squirrel climbed the tree.,L'écureuil est grimpé dans l'arbre.
The station is two miles away.,La gare est à deux miles d'ici.
The stone is perfectly smooth.,La pierre est parfaitement lisse.
The students could not answer.,Les étudiants ne pouvaient pas répondre.
The summer here is quite warm.,"Ici, l'été est très chaud."
The sun is shining in the sky.,Le soleil brille dans le ciel.
The sun is the brightest star.,Le soleil est l'étoile la plus brillante.
The sun shines during the day.,Le Soleil brille durant le jour.
The town was full of activity.,La ville était pleine d'activité.
The train approached the town.,Le train approchait de la ville.
The train arrived on schedule.,Le train arriva à l'heure.
The train has not arrived yet.,Le train n'est pas encore arrivé.
The train leaves in 5 minutes.,Le train part dans cinq minutes.
The train was delayed by snow.,Le train a été retardé à cause de la neige.
The troops had plenty of arms.,Les troupes avaient plein d'armes.
The troops had plenty of arms.,Les troupes avaient beaucoup d'armes.
The troops had plenty of arms.,Les troupes avaient beaucoup de bras.
The truth is I don't like Tom.,La vérité est que je n'aime pas Tom.
The truth is I don't like you.,"La vérité, c'est que je ne t'aime pas."
The truth is I don't like you.,"La vérité, c'est que je ne vous aime pas."
The twins are very much alike.,Les jumeaux se ressemblent beaucoup.
The two women know each other.,Les deux femmes se connaissent.
The typhoon gathered strength.,Le typon se renforça.
The unexpected always happens.,L'inattendu se produit toujours.
The unexpected always happens.,L'inattendu arrive toujours.
The vase was broken to pieces.,Le vase était brisé en morceaux.
The view here is breathtaking.,La vue ici est à couper le souffle.
The war had lasted four years.,La guerre a duré quatre ans.
The war is going in our favor.,La guerre se déroule en notre faveur.
The watch keeps accurate time.,La montre tient l'heure précise.
The water came up to my knees.,L'eau arrivait au niveau de mes genoux.
The water flooded the streets.,L'eau inonda les rues.
The water flooded the streets.,L'eau a inondé les rues.
The weather is terrible today.,Il fait un temps horrible aujourd'hui.
The weather is terrible today.,Il fait dégueulasse aujourd'hui.
The weather is terrible today.,Il fait un temps vraiment moche aujourd'hui.
The whole class took the test.,Toute la classe a passé le test.
The wind is blowing very hard.,Le vent souffle violemment.
The word has several meanings.,Le mot a plusieurs significations.
The work is actually finished.,Le travail est effectivement achevé.
There also was another reason.,Il y avait aussi une autre raison.
There are 31 days in December.,Décembre a 31 jours.
There are a couple of options.,Il y a quelques options.
There are cookies in the oven.,Il y a des biscuits au four.
There are cookies in the oven.,Il y a des biscuits dans le four.
There are no stupid questions.,Il n'y a pas de questions stupides.
There are no stupid questions.,Il n'y a pas de questions bêtes.
There are rats in the kitchen.,Il y a des rats dans la cuisine.
There are statues in the park.,Il y a des statues dans le parc.
There are still some problems.,Il y a encore des problèmes.
There are three main sections.,Il y a 3 sections principales.
There is a cat in the kitchen.,Il y a un chat dans la cuisine.
There is a cat under the desk.,Il y a un chat sous le bureau.
There is a park near my house.,Il y a un parc près de chez moi.
There is an apple on the desk.,Il y a une pomme sur le bureau.
There is an apple on the desk.,Il y a une pomme sur le pupitre.
There is an apple on the desk.,Une pomme se trouve sur le bureau.
There is no grass on the moon.,Il n'y a pas d'herbe sur la lune.
There is no other explanation.,Il n'y a pas d'autre explication.
There is no shortage of ideas.,Ce ne sont pas les idées qui manquent.
There is no table in the room.,Il n'y a pas de table dans la salle.
There is snow on the mountain.,Il y a de la neige sur la montagne.
There isn't a moment to spare.,Il n'y a pas un moment à perdre.
There isn't room for everyone.,Il n'y a pas de place pour tout le monde.
There really is no comparison.,Il n'y a vraiment pas de comparaison.
There was blood on the carpet.,Il y avait du sang sur le tapis.
There was no one on the beach.,Il n'y avait personne sur la plage.
"There were few, if any, trees.",Il n'y avait presque aucun arbre.
There were flowers all around.,Il y avait des fleurs de tous côtés.
There were no more free seats.,Il n'y avait plus de places libres.
There were no more free seats.,Il n'y avait plus de fauteuils de libre.
There were no other survivors.,Il n'y avait pas d'autres survivants.
There were no taxis available.,Il n'y avait pas de taxis disponibles.
There were two pieces of cake.,Il y avait deux morceaux de gâteau.
There would be no competition.,Il n'y aurait pas de concurrence.
There'll be a lot of expenses.,Il y aura beaucoup de dépenses.
There's a bit of a wind today.,Il y a un petit peu de vent aujourd'hui.
There's a cab waiting outside.,Il y a un taxi qui attend dehors.
There's a cat under the table.,Il y a un chat sous la table.
There's a large risk involved.,Il y a là un grand risque.
There's a new sheriff in town.,Il y a un nouveau shérif en ville.
There's a river near my house.,Il y a une rivière près de ma maison.
There's been another accident.,Il y a eu un autre accident.
There's no mention of it here.,Il n'en est pas fait mention ici.
There's no need to exaggerate.,Il n'est pas nécessaire d'exagérer.
There's no problem whatsoever.,Il n'y a aucun problème du tout.
There's no room under the bed.,Il n'y a pas de place sous le lit.
There's no smoke without fire.,Il n'y a pas de fumée sans feu.
There's no such thing as luck.,"La chance, ça n'existe pas."
There's no use making excuses.,Les excuses sont inutiles.
There's no way off the island.,Il n'y a aucun moyen de quitter l'île.
There's nobody in the kitchen.,Il n'y a personne dans la cuisine.
There's nothing else I can do.,Il n'y a rien d'autre que je puisse faire.
There's nothing going on here.,Il n'y a rien qui se passe ici.
There's nothing more I can do.,Je ne peux rien faire de plus.
There's nothing new to report.,Il n'y a rien de nouveau à signaler.
There's nothing on television.,Il n'y a rien à la téloche.
There's nothing wrong with it.,Il n'y a rien de mal à ça.
"There's nothing wrong, I hope.","Il n'y a aucun souci, je l'espère."
There's one problem with this.,Il y a un problème avec ceci.
There's so much more to learn.,"Il y a tant à apprendre, encore."
These are difficult questions.,Ce sont des questions difficiles.
These containers are airtight.,Ces conteneurs sont hermétiques.
These containers are airtight.,Ces récipients sont hermétiques.
These cookies are star-shaped.,Ces gâteaux sont en forme d'étoile.
These objects are very useful.,Ces objets sont très utiles.
These paintings are beautiful.,Ces tableaux sont beaux.
These pencils need sharpening.,Ces crayons ont besoin d'être taillés.
These politicians are corrupt.,Ces politiciens sont corrompus.
These politicians are corrupt.,Ces politiciennes sont corrompues.
These shoes are too expensive.,Ces chaussures sont trop chères.
These shoes don't fit my feet.,Ces chaussures ne me vont pas.
These ties are very expensive.,Ces cravates sont très chères.
These ties are very expensive.,Ces liens coûtent très cher.
They abandoned their homeland.,Ils ont abandonné leur terre natale.
They accept students like Tom.,Ils acceptent les étudiants comme Tom.
They accept students like Tom.,Elles acceptent les étudiants comme Tom.
They acted on the information.,Ils agirent selon l'information.
They acted on the information.,Ils agirent sur la base de l'information.
They acted on the information.,Ils ont agi sur la base de l'information.
They acted on the information.,Ils ont agi selon l'information.
They all joined in the chorus.,Ils se joignirent tous au chœur.
They all joined in the chorus.,Elles se joignirent toutes au chœur.
They all laughed at his error.,Tous ont ri à son erreur.
They all laughed at his error.,Toutes ont ri à son erreur.
They all laughed at his error.,Ils rirent tous de son erreur.
They all laughed at his error.,Elles rirent toutes de son erreur.
They all laughed at his jokes.,Ils ont tous ri de ses blagues.
They all laughed at his jokes.,Elles ont toutes ri de ses blagues.
They are all college students.,Ce sont tous des étudiants de la fac.
They are all college students.,Ce sont toutes des étudiantes de la fac.
They are typical young people.,C'étaient des jeunes gens habituels.
They aren't going to help Tom.,Ils ne vont pas aider Tom.
They belong to the chess club.,Ils appartiennent au club d'échecs.
