English words/sentences,French words/sentences
He has a large family to support.,Il a une grande famille à entretenir.
He has a lot of books on history.,Il a beaucoup de livres d'Histoire.
He has a very dry sense of humor.,Il est très pince-sans-rire.
He has already finished his work.,Il a déjà fini son travail.
He has an intriguing personality.,Il a une personnalité intrigante.
He has been sick for a long time.,Il a été longtemps malade.
He has been sick in bed all week.,Il est resté malade toute la semaine au lit.
He has his hair cut once a month.,Il se fait couper les cheveux une fois par mois.
He has no house in which to live.,Il n'a pas de maison où vivre.
He has nothing to complain about.,Il n'a aucune raison de se plaindre.
He has overstepped his authority.,Il a outrepassé son autorité.
He has sent the boy on an errand.,Il envoya le garçon faire une commission.
He has some knowledge of editing.,Il a quelque connaissance en édition.
He has the ability to do the job.,Il a les capacités pour faire ce travail.
He has the least money of us all.,C'est lui qui a le moins d'argent de nous tous.
He has the same camera as I have.,Il a le même appareil photo que moi.
He has trouble remembering names.,Il a des difficultés à se rappeler les noms.
He has trouble remembering names.,Il éprouve des difficultés à se souvenir des noms.
He has trouble waking up on time.,Il a du mal à se réveiller à l'heure.
He hasn't answered my letter yet.,Il n'a pas encore répondu à ma lettre.
He hasn't written the letter yet.,Il n'a pas encore écrit la lettre.
He inherited an old wooden chest.,Il a hérité d'un vieux coffre en bois.
He inherited an old wooden chest.,Il hérita d'un vieux coffre de bois.
He introduced his daughter to me.,Il me présenta sa fille.
He introduced his daughter to me.,Il m'a présenté sa fille.
He is a man who loves ceremonies.,C'est un homme qui adore les cérémonies.
He is a potential world champion.,C'est un champion du monde en puissance.
He is a student at a high school.,Il est lycéen.
He is a wolf in sheep's clothing.,Le garçon est un loup déguisé en mouton.
He is a wolf in sheep's clothing.,C'est un loup déguisé en agneau.
He is accustomed to working hard.,Il a l'habitude de travailler dur.
He is acquainted with the custom.,Il a connaissance de la tradition.
He is ahead of us in mathematics.,Il est devant nous en mathématiques.
He is always making a fool of me.,Il se moque toujours de moi.
He is anxious to know the result.,Il est impatient de connaître le résultat.
He is beginning to lose his hair.,Il commence à perdre ses cheveux.
He is capable of teaching French.,Il est capable d'enseigner le français.
He is expected to come home soon.,On s'attend à ce qu'il rentre bientôt à la maison.
He is fond of this kind of music.,Il aime beaucoup ce genre de musique.
He is fond of this kind of music.,Il aime ce genre de musique.
He is in good physical condition.,Il est en bonne condition physique.
He is independent of his parents.,Il est indépendant de ses parents.
He is living apart from his wife.,Il vit séparé de sa femme.
"He is not a singer, but an actor.","Il n'est pas chanteur, mais acteur."
He is not as tall as his brother.,Il n'est pas aussi grand que son frère.
He is nothing more than a coward.,Il n'est rien d'autre qu'un lâche.
He is old enough to travel alone.,Il est assez grand pour voyager seul.
He is pleased with his new shoes.,Il est content de ses nouvelles chaussures.
He is staying with his relatives.,Il reste avec sa famille.
He is still sitting on the bench.,Il est toujours assis sur le banc.
He is still sitting on the bench.,Il est encore assis sur le banc.
He is suffering from a toothache.,Il souffre d'un mal de dents.
He is the chief of my department.,Il est le chef de mon département.
He is the father of two children.,Il est père de deux fils.
He is the greatest living artist.,C'est le plus grand artiste vivant.
He is the last man I want to see.,C'est bien la dernière personne que je veux voir.
He is the president in name only.,Il n'est président que de nom.
He is twice as heavy as his wife.,Il est deux fois plus lourd que sa femme.
He is uncertain about his future.,Il n'est pas sûr de ce que l'avenir lui réserve.
He is used to speaking in public.,Il a l'habitude de parler en public.
He is used to speaking in public.,Il est habitué à parler en public.
He is very stingy with his money.,Il est très radin avec son argent.
He is well liked by his students.,Il est très apprécié de ses étudiants.
He is what is called a gentleman.,Il est ce qu'on appelle un gentleman.
"He is, indeed, a man of his word.",C'est vraiment un homme de parole.
He keeps making the same mistake.,Il fait constamment la même erreur.
He keeps making the same mistake.,Il commet toujours la même erreur.
He kicked the ball with his foot.,Il tira dans le ballon avec son pied.
He knows a lot about butterflies.,Il s'y connait beaucoup sur les papillons.
He knows every inch of this area.,Il connaît chaque recoin de cet endroit.
He knows every inch of this area.,Il connaît tout dans ce domaine.
He knows every inch of this area.,Il connaît cet endroit comme sa poche.
He knows how to behave in public.,Il sait comment se tenir en public.
He knows how to fly a helicopter.,Il sait piloter un hélicoptère.
He knows what he's talking about.,Il sait de quoi il parle.
He leaped over the shallow ditch.,Il sauta par-dessus le fossé peu profond.
He leaves for New York next week.,Il part pour New York la semaine prochaine.
He left Japan never to come back.,Il a quitté le Japon pour ne jamais revenir.
He left for no reason whatsoever.,Il partit sans aucune raison.
He left for no reason whatsoever.,Il est parti sans aucune raison.
He left high school at seventeen.,Il a lâché l'école secondaire à 17 ans.
He let the dog loose in the yard.,Il laissa le chien en liberté dans la cour.
He let the dog loose in the yard.,Il a laissé le chien en liberté dans la cour.
He likes French more than German.,Il aime le français plus que l'allemand.
He likes sports as well as music.,Il aime le sport en plus de la musique.
He lived in Ankara for six years.,Il a vécu à Ankara pendant six ans.
He lived to be seventy years old.,Il a vécu jusqu'à soixante-dix ans.
He lives by himself in the woods.,Il vit tout seul dans les bois.
He looked back over his shoulder.,Il regarda par-dessus son épaule.
"He looks a bit tired, doesn't he?","Il a l'air un peu fatigué, non ?"
He lost his ticket for the movie.,Il a perdu son billet pour le film.
"He loves her. She loves him, too.","Il l'aime, elle l'aime aussi."
He made up a story about the dog.,Il inventa une histoire au sujet du chien.
He made up a story about the dog.,Il a inventé une histoire au sujet du chien.
He made up his mind to marry her.,Il s'est fait à l'idée de l'épouser.
He made up his mind to marry her.,Il se fit à l'idée de l'épouser.
He made up his mind to marry her.,Il s'est décidé à l'épouser.
He made up his mind to marry her.,Il se décida à l'épouser.
He makes good use of his talents.,Il fait bon usage de ses talents.
He managed to climb the mountain.,Il a réussi à escalader la montagne.
He may have missed his usual bus.,Il peut avoir manqué son bus habituel.
He narrowly escaped being killed.,Il a échappé à la mort de justesse.
He never gets invited to parties.,Il ne se fait jamais inviter à des fêtes.
He never speaks unless spoken to.,Il ne parle jamais si on ne lui parle pas.
He never takes me out for dinner.,Il ne m'emmène jamais dîner dehors.
He often drives his father's car.,Il conduit souvent la voiture de son père.
He often laughs at his own jokes.,Il rit souvent à ses propres plaisanteries.
He often laughs at his own jokes.,Il rit souvent de ses propres blagues.
He often quotes from Shakespeare.,Il cite souvent Shakespeare.
He owes his success to good luck.,Il doit son succès à la chance.
He owes his success to good luck.,Il doit son succès à la bonne fortune.
He pasted the notice on the door.,Il a collé l'annonce sur la porte.
He played the piano and she sang.,Il jouait du piano et elle chantait.
He pressed the button and waited.,Il appuya sur le bouton et attendit.
He pretended not to be listening.,Il faisait semblant de ne pas écouter.
He promised to pay us high wages.,Il a promis de nous payer des salaires élevés.
He promises not to drink anymore.,Il promet de ne plus boire.
He proved to be an ideal husband.,Il s'avéra être un mari idéal.
He put the ring on Mary's finger.,Il passa l'anneau au doigt de Marie.
He put the ring on Mary's finger.,Il passa la bague au doigt de Marie.
He quickly scanned my manuscript.,Il parcourut rapidement mon manuscrit.
He raised his hat when he saw me.,Il leva son chapeau quand il me vit.
He ran away as soon as he saw me.,Il s'est éclipsé dès qu'il m'a vu.
He ran past without noticing her.,"Il courut à côté, sans la remarquer."
He ran through the streets naked.,Il courut nu à travers les rues.
He ran through the streets naked.,Il a couru nu à travers les rues.
He read the letter over and over.,Il relut la lettre à plusieurs reprises.
He readily agreed to my proposal.,Il a accepté tout de suite ma proposition.
He repaired his watch by himself.,Il répara sa montre par lui-même.
He repaired his watch by himself.,Il a réparé sa montre par lui-même.
He repaired his watch by himself.,Il répara sa montre par ses propres moyens.
He repaired his watch by himself.,Il a réparé sa montre par ses propres moyens.
He returned from Holland in June.,Il est revenu de Hollande en juin.
He risked losing all his fortune.,Il a risqué de perdre toute sa fortune.
He robbed me of every cent I had.,Il m'a volé chaque centime que j'avais.
He sacrificed everything for you.,Il vous a tout sacrifié.
He sacrificed everything for you.,Il t'a tout sacrifié.
He said that it was nine o'clock.,Il a dit qu'il était neuf heures.
"He said, ""I want to be a doctor.""",Il Il a dit : « Je veux devenir médecin. »
He sat and listened to the radio.,Il s'assit et écouta la radio.
He sat at the edge of the stream.,Il s'est assis au bord du ruisseau.
He sat looking out of the window.,Il était assis à regarder par la fenêtre.
He sat surrounded by young girls.,Il s'assît entouré par des jeunes filles.
He scraped the mud off his boots.,Il gratta la boue de ses bottes.
"He seldom, if ever, reads a book.","Il lit rarement, sinon jamais."
He sent the letter back unopened.,Il renvoya la lettre sans l'ouvrir.
He severely criticized the mayor.,Il critiqua sévèrement le maire.
He shook his son by the shoulder.,Il secoua son fils par les épaules.
He shook his son by the shoulder.,Il a secoué son fils par les épaules.
He should be back any minute now.,Il devrait être de retour à tout moment maintenant.
He should be back any minute now.,Il devrait être de retour à tout instant maintenant.
He showed signs of great emotion.,Il montra des signes de grande émotion.
He silently went out of the room.,Il quitta la pièce en silence.
He skis in Hokkaido every winter.,Il skie à Hokkaido tous les hivers.
He sold his business and retired.,Il vendit son affaire et partit à la retraite.
He speaks English better than me.,Il parle mieux l'anglais que moi.
He stared at me and said nothing.,Il me fixa et ne dit rien.
He stopped reading the newspaper.,Il a cessé de lire le journal.
He stuck his knife into the tree.,Il planta son couteau dans l'arbre.
He supports the Democratic Party.,Il soutient le parti démocrate.
He talks as if he were a teacher.,Il parle comme s'il était un professeur.
He taught a group of Indian boys.,Il a enseigné au groupe de garçons indiens.
He taught me how to write a poem.,Il m'a appris à écrire un poème.
He telephoned me again and again.,Il m'a téléphoné sans arrêt.
He thanked her for her kind help.,Il l'a remerciée pour son aide attentionnée.
He thinks of nothing but himself.,Il ne pense à rien d'autre qu'à lui-même.
He thought that I was very tired.,Il pensait que j'étais très fatigué.
He told me good things about you.,Il m'a dit de bonnes choses à ton sujet.
He told me good things about you.,Il m'a dit de bonnes choses à votre sujet.
He told me he would go to Venice.,Il m'a dit qu'il irait à Venise.
He told me not to drive too fast.,Il me demanda de ne pas conduire trop vite.
He told me the story of his life.,Il me raconta l'histoire de sa vie.
He told me the story of his life.,Il me conta l'histoire de sa vie.
He told the students to be quiet.,Il a dit aux étudiants d'être silencieux.
He took a coin out of his pocket.,Il sortit une pièce de sa poche.
He took no notice of our warning.,Il a ignoré notre avertissement.
He took no notice of our warning.,Il n'a pas tenu compte de notre avertissement.
He took the wrong bus by mistake.,Il a pris le mauvais bus par erreur.
He tried to soothe the angry man.,Il a essayé de calmer l'homme en colère.
He turned to his friend for help.,Il se tourna vers son ami pour qu'il l'aide.
He turned to his friend for help.,Il s'est tourné vers son ami pour qu'il l'aide.
He usually goes to work at 8 a.m.,"Habituellement, il part au travail à 8 heures du matin."
He usually went to bed at eleven.,Il allait se coucher à onze heures d'habitude.
He wants a watch just like yours.,Il veut exactement la même montre que la tienne.
He wants something cold to drink.,Il veut boire quelque chose de froid.
He wants to get a new dictionary.,Il veut se procurer un nouveau dictionnaire.
He wants to get rid of his books.,Il veut se débarrasser de ses livres.
He wants to work at the hospital.,Il veut travailler à l'hôpital.
He was a weak and delicate child.,C'était un enfant chétif et délicat.
He was able to solve the problem.,Il était capable de résoudre le problème.
He was able to solve the problem.,Il a pu résoudre le problème.
He was absent because of illness.,Il était absent pour cause de maladie.
He was accused of stealing money.,Il fut accusé d'avoir volé de l'argent.
He was accused of stealing money.,Il fut accusé de vol d'argent.
He was accused of stealing money.,Il était accusé de vol d'argent.
He was banished from the kingdom.,Il fut banni du royaume.
He was busy when I called him up.,Il était occupé lorsque je l'ai appelé.
He was conscious of her presence.,Il était conscient de sa présence.
He was curious to see the inside.,Il était curieux de voir à l'intérieur.
He was elected mayor of the city.,Il a été élu Maire de la ville.
He was framed on a murder charge.,Il s'est fait incriminer de meurtre.
He was holding a pen in his hand.,Il tenait un stylo dans la main.
He was involved in a murder case.,Il fut impliqué dans une affaire de meurtre.
He was satisfied with the result.,Il a été satisfait du résultat.
He was successful in the attempt.,Son essai a été réussi.
He was the last person to arrive.,Il fut le dernier à arriver.
He was too young to go to school.,Il était trop jeune pour aller à l'école.
He was wearing a threadbare suit.,Il portait un costume élimé.
He was worn out when he got home.,Il était épuisé quand il est rentré chez lui.
He wasn't able to reach his goal.,Il n'a pas pu atteindre son objectif.
He weighed the stone in his hand.,Il soupesa la pierre dans sa main.
He weighs a lot more than before.,Il pèse beaucoup plus qu'avant.
He went backstage after the show.,Il est allé en coulisses après le spectacle.
He went backstage after the show.,Il est allé dans les coulisses après le show.
He went out in spite of the rain.,Il sortit malgré la pluie.
He went to see her the other day.,Il est allé la voir l'autre jour.
He will arrive in Kyoto tomorrow.,Il arrivera à Kyoto demain.
He will arrive in Paris tomorrow.,Il arrivera à Paris demain.
He will be in time for the train.,Il sera à l'heure pour le train.
He will forever be in our hearts.,Il demeurera à jamais dans nos cœurs.
He will make a good team captain.,Il fera un bon capitaine.
He will make a good team captain.,Il fera un bon capitaine d'équipe.
He wiped the sweat from his brow.,Il essuya la sueur de son front.
He wiped the sweat from his face.,Il essuya la sueur de son visage.
He wondered why she did not come.,Il se demanda pourquoi elle n'était pas venue.
He works for an American company.,Il travaille pour une société étasunienne.
He works hard to earn his living.,Il travaille dur pour gagner sa vie.
He writes in his diary every day.,Il écrit chaque jour dans son journal.
He wrote it down in his notebook.,Il le nota dans son carnet.
He wrote to me from time to time.,Il m'écrivit de temps à autre.
He wrote to me from time to time.,Il m'écrivit de temps en temps.
He wrote to me from time to time.,Il m'a écrit de temps à autre.
He wrote to me from time to time.,Il m'a écrit de temps en temps.
He'll come on foot or by bicycle.,Il viendra à pied ou à bicyclette.
He'll do whatever you ask him to.,Il fera tout ce que tu lui demanderas.
He'll finish the job by tomorrow.,Il finira le travail pour demain.
He'll have to do this task again.,Il devra refaire cette tâche.
"He's English, but lives in India.",Il est anglais mais vit en Inde.
"He's English, but lives in India.",Il est Anglais mais habite en Inde.
He's a carbon copy of his father.,C'est le portrait craché de son père.
He's a carbon copy of his father.,Il ressemble comme deux gouttes d’eau à son père.
"He's a crybaby, just like always.","C'est un pleurnichard, comme toujours."
He's a professional photographer.,Il est photographe professionnel.
He's getting soft in his old age.,Il devient ramollo avec l'âge.
He's more than likely to be late.,Il est plus que probable qu'il sera en retard.
He's not at all afraid of snakes.,Il n'a pas du tout peur des serpents.
He's not at all afraid of snakes.,Il ne craint pas du tout les serpents.
He's old enough to be her father.,Il est assez vieux pour être son père.
He's sitting in the waiting room.,Il est assis dans la salle d'attente.
He's sitting in the waiting room.,Il est assis en salle d'attente.
He's three years older than I am.,Il a trois ans de plus que moi.
He's wanted for grand theft auto.,Il est recherché pour vol de véhicule.
Health is essential to happiness.,La santé est indispensable au bonheur.
"Help me with my homework, please.","Aide-moi avec mon devoir, s’il te plaît."
Help yourself to a piece of cake.,Servez-vous de gâteau.
Help yourself to a piece of cake.,Servez-vous une part de gâteau.
Help yourself to a piece of cake.,Prenez une part de gâteau.
Help yourself to a piece of cake.,Prends une part de gâteau.
Her beauty cast a spell over him.,Sa beauté le charma.
Her dream will one day come true.,Un jour ses rêves se réaliseront.
Her face was drenched with sweat.,Son visage était trempé de sueur.
Her father passed away last week.,Son père est décédé la semaine dernière.
Her husband is an excellent cook.,Son mari est un excellent cuisinier.
Her late husband was a violinist.,Son dernier mari était violoniste.
Her late husband was a violinist.,Son défunt mari était violoniste.
Her long hair was completely wet.,Sa longue chevelure était complètement mouillée.
Her mother will continue to work.,Sa mère continuera à travailler.
Her red dress made her stand out.,Sa robe rouge la particularisa.
Her red dress made her stand out.,Sa robe rouge la distingua.
Her red dress made her stand out.,Sa robe rouge l'a distinguée.
Her red dress made her stand out.,Sa robe rouge l'a particularisée.
Here are the books you asked for.,Voici les livres que vous avez demandés.
Here is the fish my mother baked.,Voici le poisson que ma mère a cuit.
Here is the house where he lived.,Voici la maison où il a vécu.
Here's an important announcement.,Voici une annonce importante.
"Hey, where did you two come from?","Eh, d'où êtes-vous venus, tous les deux ?"
"Hey, where did you two come from?","Eh, d'où êtes-vous venues, toutes les deux ?"
"Hey, you two! What are you doing?","Hé, vous deux ! Que faites-vous ?"
His absence was due to the storm.,Il n'était pas là à cause de l'orage.
His behavior is worthy of praise.,Sa conduite est digne d'éloges.
His brother was lost in the town.,Son frère s'est perdu en ville.
His criticisms were out of place.,Ses critiques étaient déplacées.
His father has never scolded him.,Son père ne l'a jamais grondé.
His guess turned out to be right.,Sa supposition se révéla juste.
His house is surrounded by trees.,Sa maison est entourée d'arbres.
His identity must be kept secret.,Son identité doit être gardée secrète.
His mother is an English teacher.,Sa mère est prof d'anglais.
His office is very close to mine.,Son bureau est très proche du mien.
His opinion was the same as mine.,Son opinion était la même que la mienne.
His paintings seem strange to me.,Ses tableaux me semblent étranges.
His picture was in the newspaper.,Sa photo était dans le journal.
His rude behavior makes me angry.,Son comportement insultant m'a énervé.
His shirt was stained with sauce.,Sa chemise était tachée de sauce.
His son was expelled from school.,Son fils a été expulsé de l'école.
His speech inspired all the boys.,Son discours a inspiré tous les garçons.
His story turned out to be false.,Son histoire se révéla être fausse.
His wife doesn't seem ugly to me.,Sa femme ne me semble pas laide.
His wife doesn't seem ugly to me.,Sa femme ne me parait pas laide.
His wife opened the door for him.,Sa femme lui ouvrit la porte.
His wife seems to be a foreigner.,Sa femme semble être étrangère.
His words rendered me speechless.,"À ses mots, je restais sans voix."
History is not his major subject.,L'Histoire n'est pas sa spécialité.
Honesty will pay in the long run.,L'honnêteté paye à la longue.
Horses and donkeys are different.,Les chevaux et les ânes sont différents.
How about making me a cup of tea?,Et si vous me faisiez une tasse de thé ?
How about wearing contact lenses?,Pourquoi ne portes-tu pas de lentilles de contact ?
How about wearing contact lenses?,Pourquoi ne portez-vous pas de lentilles de contact ?
How are you feeling this morning?,Comment te sens-tu ce matin ?
How are you feeling this morning?,"Comment vous sentez-vous, ce matin ?"
How are you going to handle this?,Comment allez-vous gérer ceci ?
How are you going to handle this?,Comment vas-tu gérer ça ?
How come you didn't say anything?,Pourquoi n'as-tu rien dit ?
How could we have been so stupid?,Comment aurions-nous pu être aussi stupides ?
How did Tom get that information?,Comment Tom a-t-il eu cette information ?
How did you deal with the matter?,Comment avez-vous appréhendé le problème ?
How did you get out of your room?,Comment es-tu sorti de ta chambre ?
How did you get out of your room?,Comment es-tu sortie de ta chambre ?
How did you get out of your room?,Comment êtes-vous sorti de votre chambre ?
How did you get out of your room?,Comment êtes-vous sortis de votre chambre ?
How did you get out of your room?,Comment êtes-vous sorties de votre chambre ?
How did you get out of your room?,Comment êtes-vous sortie de votre chambre ?
How did you handle the situation?,Comment as-tu géré la situation ?
How did you handle the situation?,Comment avez-vous géré la situation ?
How did you know one was missing?,Comment savais-tu qu'il en manquait un ?
How did you know one was missing?,Comment saviez-vous qu'il en manquait un ?
How did you obtain this painting?,Comment avez-vous obtenu ce tableau ?
How did you obtain this painting?,Comment as-tu obtenu ce tableau ?
How did you spend your free time?,Comment avez-vous passé votre temps libre ?
How do they expect us to survive?,Comment comptent-ils que nous survivions ?
How do they expect us to survive?,Comment comptent-elles que nous survivions ?
How do we know this isn't a trap?,Comment sais-tu qu'il ne s'agit pas d'un piège ?
How do we know this isn't a trap?,Comment savez-vous qu'il ne s'agit pas d'un piège ?
How do you expect me to pay this?,Comment veux-tu que je paie ça ?
How do you expect me to pay this?,Comment espérez-vous que je paie ceci ?
How do you know all these things?,Comment tu sais toutes ces choses ?
How do you know all these things?,Comment vous savez toutes ces choses ?
How do you know all these things?,Comment sais-tu toutes ces choses ?
How do you know all these things?,Comment savez-vous toutes ces choses ?
How do you know all these things?,Comment est-ce que tu sais toutes ces choses ?
How do you know all these things?,Comment est-ce que vous savez toutes ces choses ?
How do you know so much about it?,Comment en savez-vous tant à ce sujet ?
How do you know so much about it?,Comment en sais-tu tant à ce sujet ?
How do you know what color it is?,Comment savez-vous de quelle couleur il s'agit ?
How do you know what color it is?,Comment sais-tu de quelle couleur il s'agit ?
"How do you say ""hello"" in French?",Comment dit-on « hello » en français ?
How do you say lobster in French?,Comment dis-tu « homard » en français ?
How do you tell each other apart?,Comment les distingue-t-on l'un de l'autre ?
How do you tell each other apart?,Comment les distingue-t-on l'une de l'autre ?
How do you think it made me feel?,Comment penses-tu que ça m'a fait me sentir ?
How do you think it made me feel?,Comment pensez-vous que ça m'a fait me sentir ?
How does it feel to be back home?,Qu'est-ce que ça fait d'être de retour chez soi ?
How does your wife feel about it?,Comment ta femme prend-elle ça ?
How does your wife feel about it?,Qu'est-ce qu'en pense votre femme ?
How in the world did you find me?,Comment diable m'as-tu trouvé ?
